metal_product
Колено раструб-гладкий конец УРГ 200 ГОСТ 5525-88
Труба электросварная SAWL 21.3х2.77 ASTM A53 B
"Труба электросварная SAWL 26,7х2,87 ASTM A53 B"
"Труба электросварная SAWL 33,4х3,38 ASTM A53 B"
"Труба электросварная SAWL 42,2х3,56 ASTM A53 B"
"Труба электросварная SAWL 48,3х3,68 ASTM A53 B"
"Труба электросварная SAWL 60,3х3,91 ASTM A53 B"
"Труба электросварная SAWL 73,0х5,16 ASTM A53 B"
"Труба электросварная SAWL 88,9х5,49 ASTM A53 B"
"Труба электросварная SAWL 114,3х6,02 ASTM A53 B"
"Труба электросварная SAWL 141,3х6,55 ASTM A53 B"
"Труба электросварная SAWL 168,3х7,11 ASTM A53 B"
"Труба электросварная SAWL 219,1х8,18 ASTM A53 B"
"Труба 10,29х1,73 SS 316"
"Труба 13,72х2,24 SS 316"
"Труба 21,34х2,77 SS 316"
"Труба 60,33х3,92 SS 316"
"Тройник 21,3х21,3 ASTM A53 B"
"Тройник 26,7х21,3 ASTM A53 B"
"Тройник 26,7х26,7 ASTM A53 B"
"Тройник 33,4х21,3 ASTM A53 B"
"Тройник 33,4х26,7 ASTM A53 B"
"Тройник 33,4х33,4 ASTM A53 B"
"Тройник 42,2х21,3 ASTM A53 B"
"Тройник 42,2х26,7 ASTM A53 B"
"Тройник 42,2х33,4 ASTM A53 B"
"Тройник 42,2х42,2 ASTM A53 B"
"Тройник 48,3х21,3 ASTM A53 B"
"Тройник 48,3х26,7 ASTM A53 B"
"Тройник 48,3х33,4 ASTM A53 B"
"Тройник 48,3х48,3 ASTM A53 B"
"Тройник 60,3х21,3 ASTM A53 B"
"Тройник 60,3х33,4 ASTM A53 B"
"Тройник 60,3х48,3 ASTM A53 B"
"Тройник 60,3х60,3 ASTM A53 B"
"Тройник 73,0х21,3 ASTM A53 B"
"Тройник 73,0х33,4 ASTM A53 B"
"Тройник 73,0х60,3 ASTM A53 B"
"Тройник 88,9х21,3 ASTM A53 B"
"Тройник 88,9х33,4 ASTM A53 B"
"Тройник 88,9х48,3 ASTM A53 B"
"Тройник 88,9х60,3 ASTM A53 B"
"Тройник 88,9х88,9 ASTM A53 B"
"Тройник 114,3х21,3 ASTM A53 B"
"Тройник 114,3х33,4 ASTM A53 B"
"Тройник 114,3х48,3 ASTM A53 B"
"Тройник 114,3х60,3 ASTM A53 B"
"Тройник 114,3х88,9 ASTM A53 B"
"Тройник 114,3х114,3 ASTM A53 B"
"Тройник 141,3х21,3 ASTM A53 B"
