metal_product,diameter,side_size,width,thickness,mark_number
Труба электросварная SAWL 21.3х2.77 ASTM A53 B,21.3,,,2.77,
"Труба электросварная SAWL 26,7х2,87 ASTM A53 B",26.7,,,2.87,
"Труба электросварная SAWL 33,4х3,38 ASTM A53 B",33.4,,,3.38,
"Труба электросварная SAWL 42,2х3,56 ASTM A53 B",42.2,,,3.56,
"Труба электросварная SAWL 48,3х3,68 ASTM A53 B",48.3,,,3.68,
"Труба электросварная SAWL 60,3х3,91 ASTM A53 B",60.3,,,3.91,
"Труба электросварная SAWL 73,0х5,16 ASTM A53 B",73.0,,,5.16,
"Труба электросварная SAWL 88,9х5,49 ASTM A53 B",88.9,,,5.49,
"Труба электросварная SAWL 114,3х6,02 ASTM A53 B",114.3,,,6.02,
"Труба электросварная SAWL 141,3х6,55 ASTM A53 B",141.3,,,6.55,
"Труба электросварная SAWL 168,3х7,11 ASTM A53 B",168.3,,,7.11,
"Труба электросварная SAWL 219,1х8,18 ASTM A53 B",219.1,,,8.18,
"Труба 10,29х1,73 SS 316",10.29,,,1.73,
"Труба 13,72х2,24 SS 316",13.72,,,2.24,
"Труба 21,34х2,77 SS 316",21.34,,,2.77,
"Труба 60,33х3,92 SS 316",60.33,,,3.92,
Полоса стальная 30х6мм,,,30.0,6.0,
Полоса 4х40 Ст3 ГОСТ 103-2006 ГОСТ 535-2005,,,4.0,40.0,
Труба 20х3 ГОСТ 8734-75 В20 ГОСТ 8733-74,20.0,,,3.0,
Труба 14х3 ГОСТ 8734-75 В20 ГОСТ 8733-74,14.0,,,3.0,
Труба 273х7 Ст20 ТУ 14-3Р-1128-2007,273.0,,,7.0,
Полоса 4х140 С245 ГОСТ 103-2006,,,4.0,140.0,
Лист стальной просечно вытяжной ПВ1 606 6х1000х6000ММ ТУ 36.26.11-5-89,,6.0,606.0,1.0,
ШВЕЛЛЕР ИЗ СТАЛИ С255 №8,,,,,
Полоса стальная 4х40 С245 ГОСТ 103-76 ГОСТ 27772-88,,,4.0,40.0,
Швеллер 24А ГОСТ 8240-97 С245 ГОСТ 27772-88,,,,,
КРУГ Ø 6ММ,6.0,,,,
Лист стальной просечно вытяжной ПВ1 506 5х1000х6000ММ ТУ 36.26.11-5-89,,5.0,506.0,1.0,
Уголок 25х25х5 ГОСТ 8509-93 С245 ГОСТ 27772-88,,25.0,25.0,5.0,
